FID	IID	abeta40	abeta42	abeta_ratio
3	cira003	1204.47259	99.12074	0.08229
4	cira004	1024.42586	78.35666	0.07649
5	cira005	1048.14182	76.47503	0.07296
9	cira009	1467.86934	119.27633	0.08126
10	cira010	1468.70735	116.14714	0.07908
11	cira011	887.25413	67.72582	0.07633
12	cira012	1368.07165	106.32745	0.07772
13	cira013	1454.6553	107.99316	0.07424
14	cira014	792.58877	63.47486	0.08009
15	cira015	1045.01815	83.72021	0.08011
16	cira016	1387.7633	117.22716	0.08447
19	cira019	1126.04753	91.9816	0.08169
20	cira020	1135.34069	88.64142	0.07807
21	cira021	1193.78877	96.59362	0.08091
22	cira022	1145.98907	87.60024	0.07644
23	cira023	1394.35006	117.5648	0.08432
24	cira024	1293.02953	107.24628	0.08294
26	cira026	1681.68737	141.96041	0.08442
28	cira028	921.53647	68.29395	0.07411
30	cira030	1098.30767	92.51451	0.08423
32	cira032	1439.93051	135.2505	0.09393
33	cira033	1213.3463	99.29782	0.08184
34	cira034	1171.65942	107.90609	0.0921
35	cira035	1520.23102	116.4232	0.07658
37	cira037	1149.79288	85.15634	0.07406
38	cira038	980.73698	72.49692	0.07392
39	cira039	1063.3464	83.37208	0.07841
41	cira041	808.22358	64.84746	0.08023
42	cira042	472.10942	42.90941	0.09089
44	cira044	1503.69097	128.31487	0.08533
46	cira046	1056.19396	90.07582	0.08528
47	cira047	1153.7211	100.92258	0.08748
48	cira048	1062.82718	87.18873	0.08203
50	cira050	1603.6345	133.25483	0.0831
51	cira051	1212.83218	92.76826	0.07649
52	cira052	859.30808	70.08521	0.08156
53	cira053	1199.41649	96.705	0.08063
54	cira054	739.09933	59.4046	0.08037
55	cira055	1008.24788	76.77521	0.07615
56	cira056	1381.54308	109.0987	0.07897
57	cira057	1280.14157	102.23378	0.07986
58	cira058	1073.88919	93.11202	0.08671
59	cira059	731.70395	49.8343	0.06811
60	cira060	1180.00644	91.11914	0.07722
61	cira061	1302.2073	101.16911	0.07769
62	cira062	2785.78157	286.46619	0.10283
63	cira063	1420.76276	119.23162	0.08392
64	cira064	1150.87764	89.23744	0.07754
65	cira065	1420.76276	99.59813	0.0701
66	cira066	887.13479	68.60751	0.07734
67	cira067	1220.01176	104.44547	0.08561
68	cira068	1833.342	139.38073	0.07603
70	cira070	1592.939	135.14553	0.08484
71	cira071	1405.90058	112.28843	0.07987
72	cira072	2146.6161	188.10858	0.08763
73	cira073	775.6221	67.386	0.08688
74	cira074	1748.43499	151.27037	0.08652
75	cira075	1741.15536	151.26004	0.08687
76	cira076	2127.10493	185.35113	0.08714
77	cira077	1714.34566	134.64234	0.07854
78	cira078	841.14657	70.02367	0.08325
79	cira079	1558.25828	125.62177	0.08062
80	cira080	1607.92564	138.36518	0.08605
81	cira081	1514.69918	121.58718	0.08027
82	cira082	1891.75356	152.12051	0.08041
83	cira083	1920.18739	151.6431	0.07897
84	cira084	1933.33715	165.23074	0.08546
86	cira086	712.09978	55.0228	0.07727
87	cira087	222.54196	26.03177	0.11697
88	cira088	1225.49496	98.2043	0.08013
89	cira089	1781.17543	149.23982	0.08379
90	cira090	1259.77767	101.58141	0.08063
91	cira091	1883.93566	178.54627	0.09477
92	cira092	1790.01017	155.91907	0.08711
93	cira093	1396.7133	118.95263	0.08517
94	cira094	1338.07143	115.21612	0.08611
96	cira096	1016.80795	80.90071	0.07956
97	cira097	1531.89008	124.79656	0.08147
98	cira098	1997.334	176.78796	0.08851
101	cira101	1692.84969	158.58869	0.09368
107	cira107	2665.98351	249.57002	0.09361
109	cira109	1282.50875	111.5134	0.08695
111	cira111	1130.80412	98.0586	0.08672
112	cira112	1007.74835	96.04386	0.09531
113	cira113	707.74578	77.37818	0.10933
114	cira114	529.59028	55.70562	0.10519
116	cira116	1247.95236	103.0767	0.0826
118	cira118	577.57796	50.9239	0.08817
119	cira119	493.89604	39.21257	0.07939
120	cira120	938.88236	76.27823	0.08124
121	cira121	2198.52968	197.41372	0.08979
122	cira122	423.8447	48.00551	0.11326
123	cira123	1488.96942	131.12575	0.08806
124	cira124	578.46415	64.9773	0.11233
125	cira125	1959.28561	184.14688	0.09399
126	cira126	1073.53859	97.5377	0.09086
127	cira127	824.89189	72.19469	0.08752
128	cira128	522.74645	59.05292	0.11297
130	cira130	929.41503	72.43937	0.07794
132	cira132	1598.02809	152.62522	0.09551
133	cira133	1313.43359	121.08878	0.09219
134	cira134	1325.76724	118.89048	0.08968
